benchmark,cpu_time,number_of_decisions,status,wall_time
j2021_2,6.04s,2268741,SATISFIABLE,6.11s
j2021_3,5.41s,2070963,SATISFIABLE,5.53s
j2021_4,5.20s,1456901,SATISFIABLE,5.30s
j2021_5,5.20s,228808,UNKNOWN,5.31s
j2021_6,5.09s,1881626,SATISFIABLE,5.21s
j2021_7,5.21s,390091,UNKNOWN,5.31s
j2021_8,5.26s,1833402,SATISFIABLE,5.30s
j2021_9,6.01s,3270127,SATISFIABLE,6.10s
j2022_1,2.61s,5000623,OPTIMAL,2.71s
j2022_10,3.44s,5409657,OPTIMAL,3.51s
j2022_2,4.58s,4449548,OPTIMAL,4.68s
j2022_3,3.38s,6047030,OPTIMAL,3.46s
j2022_4,5.18s,5102153,SATISFIABLE,5.31s
j2022_5,5.88s,2873417,SATISFIABLE,5.98s
j2022_6,3.70s,6840104,OPTIMAL,3.79s
j2022_7,5.16s,4152070,SATISFIABLE,5.27s
j2022_8,5.50s,3021455,SATISFIABLE,5.66s
j2022_9,4.06s,5132611,OPTIMAL,4.17s
j2023_1,2.09s,6318402,OPTIMAL,2.33s
j2023_10,4.42s,8610685,OPTIMAL,4.53s
j2023_2,3.94s,6736698,OPTIMAL,4.01s
j2023_3,1.80s,6430296,OPTIMAL,1.90s
j2023_4,3.78s,5309536,OPTIMAL,3.89s
j2023_5,2.46s,6879114,OPTIMAL,2.67s
j2023_6,2.92s,5470179,OPTIMAL,3.00s
j2023_7,4.01s,10477069,OPTIMAL,4.09s
j2023_8,2.19s,8049752,OPTIMAL,2.37s
j2023_9,2.30s,6126232,OPTIMAL,2.36s
j2024_1,2.98s,8307566,OPTIMAL,3.22s
j2024_10,3.51s,8368045,OPTIMAL,3.60s
j2024_2,2.54s,6311668,OPTIMAL,2.61s
j2024_3,3.08s,8665771,OPTIMAL,3.20s
j2024_4,3.03s,6962531,OPTIMAL,3.20s
j2024_5,3.22s,5869874,OPTIMAL,3.30s
j2024_6,3.23s,8551233,OPTIMAL,4.26s
j2024_7,2.93s,12065417,OPTIMAL,3.02s
j2024_8,2.89s,7040702,OPTIMAL,3.01s
j2024_9,3.19s,9822017,OPTIMAL,3.32s
j2025_1,4.55s,1512718,OPTIMAL,4.89s
j2025_10,2.77s,830068,OPTIMAL,2.86s
j2025_2,1.19s,2466200,OPTIMAL,1.35s
j2025_3,791.89ms,977421,OPTIMAL,929.29ms
j2025_4,3.07s,1440271,OPTIMAL,3.18s
j2025_5,1.11s,1148511,OPTIMAL,1.23s
j2025_6,2.16s,1149345,OPTIMAL,2.23s
j2025_7,1.49s,1426706,OPTIMAL,1.54s
j2025_8,964.93ms,1354968,OPTIMAL,990.73ms
j2025_9,4.20s,930654,OPTIMAL,4.29s
j2026_1,1.87s,1854832,OPTIMAL,1.95s
j2026_10,2.36s,1887902,OPTIMAL,2.43s
