benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,492.72ms,246021,OPTIMAL,544.31ms
j2010_10,1.19s,597722,OPTIMAL,1.27s
j2010_2,440.45ms,125945,OPTIMAL,574.30ms
j2010_3,651.06ms,200674,OPTIMAL,701.84ms
j2010_4,708.41ms,347413,OPTIMAL,814.64ms
j2010_5,742.03ms,437086,OPTIMAL,808.10ms
j2010_6,744.59ms,177259,OPTIMAL,1.53s
j2010_7,442.24ms,140000,OPTIMAL,559.43ms
j2010_8,503.59ms,137582,OPTIMAL,676.22ms
j2010_9,449.45ms,138083,OPTIMAL,526.40ms
j2011_1,665.64ms,205327,OPTIMAL,1.14s
j2011_10,650.43ms,193813,OPTIMAL,1.32s
j2011_2,640.57ms,166368,OPTIMAL,685.77ms
j2011_3,585.76ms,221152,OPTIMAL,646.79ms
j2011_4,1.24s,430852,OPTIMAL,1.30s
j2011_5,759.08ms,245685,OPTIMAL,1.01s
j2011_6,1.68s,814867,OPTIMAL,1.93s
j2011_7,508.10ms,133073,OPTIMAL,549.60ms
j2011_8,1.04s,279686,OPTIMAL,1.09s
j2011_9,1.48s,604684,OPTIMAL,1.53s
j2012_1,873.53ms,253211,OPTIMAL,920.15ms
j2012_10,752.74ms,228939,OPTIMAL,920.67ms
j2012_2,649.49ms,191528,OPTIMAL,696.25ms
j2012_3,816.41ms,235803,OPTIMAL,1.09s
j2012_4,682.56ms,289786,OPTIMAL,863.86ms
j2012_5,811.24ms,237331,OPTIMAL,860.16ms
j2012_6,1.05s,365455,OPTIMAL,1.11s
j2012_7,592.71ms,187103,OPTIMAL,763.59ms
j2012_8,559.84ms,132009,OPTIMAL,784.08ms
j2012_9,798.09ms,312868,OPTIMAL,849.55ms
j2013_1,5.68s,363327,SATISFIABLE,5.75s
j2013_10,5.89s,261562,SATISFIABLE,6.05s
j2013_2,5.50s,498608,SATISFIABLE,6.30s
j2013_3,5.73s,421607,SATISFIABLE,5.80s
j2013_4,3.45s,859387,OPTIMAL,3.54s
j2013_5,5.58s,415811,SATISFIABLE,5.64s
j2013_6,1.40s,244401,OPTIMAL,1.49s
j2013_7,5.67s,642141,SATISFIABLE,5.76s
j2013_8,5.13s,435555,SATISFIABLE,6.02s
j2013_9,2.05s,320166,OPTIMAL,2.69s
j2014_1,1.01s,203146,OPTIMAL,1.07s
j2014_10,1.15s,187088,OPTIMAL,1.25s
j2014_2,1.63s,324726,OPTIMAL,1.72s
j2014_3,1.50s,231734,OPTIMAL,1.56s
j2014_4,3.82s,917527,OPTIMAL,3.96s
j2014_5,1.37s,266984,OPTIMAL,1.43s
j2014_6,1.12s,190370,OPTIMAL,1.20s
j2014_7,1.01s,194935,OPTIMAL,1.04s
j2014_8,1.69s,273296,OPTIMAL,1.72s
j2014_9,1.67s,327854,OPTIMAL,1.76s
j2015_1,1.04s,187684,OPTIMAL,1.24s
j2015_10,1.03s,183834,OPTIMAL,1.07s
j2015_2,1.20s,175513,OPTIMAL,1.27s
j2015_3,1.33s,205725,OPTIMAL,1.58s
j2015_4,1.24s,213294,OPTIMAL,1.29s
j2015_5,1.46s,264024,OPTIMAL,1.56s
j2015_6,1.60s,275999,OPTIMAL,1.80s
j2015_7,1.89s,278682,OPTIMAL,2.01s
j2015_8,3.06s,834111,OPTIMAL,3.18s
j2015_9,1.34s,236648,OPTIMAL,1.97s
j2016_1,1.63s,252279,OPTIMAL,1.72s
j2016_10,1.86s,293432,OPTIMAL,1.92s
j2016_2,1.23s,183164,OPTIMAL,1.31s
j2016_3,1.67s,196792,OPTIMAL,1.94s
j2016_4,1.68s,300077,OPTIMAL,1.71s
j2016_5,1.01s,133133,OPTIMAL,1.11s
j2016_6,1.32s,233039,OPTIMAL,3.74s
j2016_7,1.47s,223231,OPTIMAL,1.88s
j2016_8,1.17s,215855,OPTIMAL,1.46s
j2016_9,1.45s,209563,OPTIMAL,1.51s
j2017_1,559.87ms,172941,OPTIMAL,598.69ms
j2017_10,648.23ms,329095,OPTIMAL,784.42ms
j2017_2,813.64ms,388240,OPTIMAL,879.71ms
j2017_3,400.26ms,127177,OPTIMAL,696.91ms
j2017_4,593.59ms,225825,OPTIMAL,802.72ms
j2017_5,633.11ms,271650,OPTIMAL,670.13ms
j2017_6,404.78ms,146649,OPTIMAL,444.98ms
j2017_7,631.64ms,244159,OPTIMAL,722.23ms
