benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,1.41s,1478338.0,OPTIMAL,1.52s
j2010_10,1.18s,1107506.0,OPTIMAL,1.29s
j2010_2,2.54s,2163257.0,OPTIMAL,2.78s
j2010_3,1.69s,1827052.0,OPTIMAL,3.50s
j2010_4,1.06s,1208462.0,OPTIMAL,1.13s
j2010_5,1.67s,1633137.0,OPTIMAL,1.93s
j2010_6,718.03ms,1272962.0,OPTIMAL,797.38ms
j2010_7,1.75s,1456101.0,OPTIMAL,1.82s
j2010_8,752.39ms,1152507.0,OPTIMAL,822.14ms
j2010_9,424.74ms,523383.0,OPTIMAL,480.09ms
j2011_1,2.94s,2998551.0,OPTIMAL,3.03s
j2011_10,1.40s,2454446.0,OPTIMAL,1.48s
j2011_2,2.80s,2584732.0,OPTIMAL,2.90s
j2011_3,2.28s,1892259.0,OPTIMAL,2.36s
j2011_4,1.61s,2206787.0,OPTIMAL,1.72s
j2011_5,1.08s,1975929.0,OPTIMAL,1.14s
j2011_6,2.51s,2724179.0,OPTIMAL,2.59s
j2011_7,1.64s,1761184.0,OPTIMAL,1.90s
j2011_8,2.11s,3002311.0,OPTIMAL,2.19s
j2011_9,1.35s,1688254.0,OPTIMAL,1.43s
j2012_1,1.40s,2087476.0,OPTIMAL,1.45s
j2012_10,4.74s,5611530.0,OPTIMAL,4.89s
j2012_2,1.07s,2558620.0,OPTIMAL,1.92s
j2012_3,1.20s,1790226.0,OPTIMAL,1.33s
j2012_4,1.37s,2587593.0,OPTIMAL,1.49s
j2012_5,1.13s,2042938.0,OPTIMAL,1.23s
j2012_6,2.02s,3602814.0,OPTIMAL,2.12s
j2012_7,2.02s,2713382.0,OPTIMAL,2.11s
j2012_8,3.08s,3312034.0,OPTIMAL,3.57s
j2012_9,845.72ms,1120252.0,OPTIMAL,1.55s
j2013_1,5.83s,2217387.0,SATISFIABLE,5.94s
j2013_10,5.73s,1586717.0,SATISFIABLE,5.83s
j2013_2,5.87s,1745504.0,SATISFIABLE,5.99s
j2013_3,5.65s,1677906.0,SATISFIABLE,5.77s
j2013_4,4.89s,2213717.0,OPTIMAL,5.00s
j2013_5,5.52s,2224551.0,SATISFIABLE,5.67s
j2013_6,2.48s,1923297.0,OPTIMAL,2.57s
j2013_7,5.28s,1544525.0,SATISFIABLE,5.49s
j2013_8,5.19s,1520493.0,SATISFIABLE,5.26s
j2013_9,3.91s,1676522.0,OPTIMAL,3.99s
j2014_1,2.49s,2289768.0,OPTIMAL,3.23s
j2014_10,3.70s,4043001.0,OPTIMAL,3.85s
j2014_2,2.77s,2890838.0,OPTIMAL,3.10s
j2014_3,4.72s,4438580.0,OPTIMAL,4.82s
j2014_4,5.10s,3812711.0,SATISFIABLE,5.21s
j2014_5,3.01s,2591138.0,OPTIMAL,3.12s
j2014_6,2.10s,2421409.0,OPTIMAL,2.17s
j2014_7,1.67s,2714432.0,OPTIMAL,1.75s
j2014_8,3.46s,3528869.0,OPTIMAL,3.55s
j2014_9,5.10s,4500075.0,SATISFIABLE,5.29s
j2015_1,3.49s,3754016.0,OPTIMAL,3.69s
j2015_10,2.48s,3275777.0,OPTIMAL,3.10s
j2015_2,5.05s,6336509.0,SATISFIABLE,5.24s
j2015_3,3.01s,5066712.0,OPTIMAL,3.15s
j2015_4,4.99s,4811815.0,SATISFIABLE,5.29s
j2015_5,5.19s,5856820.0,SATISFIABLE,5.28s
j2015_6,5.14s,7402379.0,SATISFIABLE,5.26s
j2015_7,3.29s,6775890.0,OPTIMAL,3.40s
j2015_8,4.94s,4851568.0,OPTIMAL,5.14s
j2015_9,5.14s,7432544.0,SATISFIABLE,5.24s
j2016_1,5.09s,7161913.0,SATISFIABLE,5.29s
j2016_10,4.82s,6008122.0,OPTIMAL,4.96s
j2016_2,5.22s,6708099.0,SATISFIABLE,5.35s
j2016_3,3.98s,7158364.0,OPTIMAL,4.07s
j2016_4,5.14s,6406060.0,SATISFIABLE,5.24s
j2016_5,5.11s,6217937.0,SATISFIABLE,5.25s
j2016_6,5.17s,6224259.0,SATISFIABLE,5.27s
j2016_7,5.19s,9153389.0,SATISFIABLE,5.39s
