benchmark,cpu_time,number_of_decisions,status,wall_time
J5048_5,180.11,42935165,SATISFIABLE,183.74
J5049_1,181.32,42412309,SATISFIABLE,182.88
J5049_2,181.35,42078867,SATISFIABLE,183.99
J5049_3,179.18,9439591,UNKNOWN,180.95
J5049_4,181.06,41322425,SATISFIABLE,183.37
J5049_5,179.32,40299598,SATISFIABLE,183.11
J504_1,181.41,27808001,SATISFIABLE,183.45
J504_2,158.16,45280465,OPTIMAL,160.41
J504_3,117.25,32462805,OPTIMAL,118.9
J504_4,180.86,25896295,SATISFIABLE,183.11
J504_5,181.12,31404271,SATISFIABLE,183.79
J5050_1,181.07,76443431,SATISFIABLE,184.19
J5050_2,180.8,38676188,SATISFIABLE,183.05
J5050_3,181.54,38866611,SATISFIABLE,183.17
J5050_4,180.17,51433983,SATISFIABLE,183.62
J5050_5,180.61,38431612,SATISFIABLE,182.73
J5051_1,26.1,39545548,OPTIMAL,27.18
J5051_2,49.5,49826931,OPTIMAL,50.81
J5051_3,65.8,45736780,OPTIMAL,68.14
J5051_4,37.74,40977114,OPTIMAL,38.8
J5051_5,33.23,34960664,OPTIMAL,34.3
J5052_1,181.46,39210594,SATISFIABLE,183.45
J5052_2,180.64,48169522,SATISFIABLE,182.86
J5052_3,180.74,46397756,SATISFIABLE,183.48
J5052_4,42.25,32130584,OPTIMAL,43.76
J5052_5,82.43,41469163,OPTIMAL,100.6
J5053_1,92.63,64909661,OPTIMAL,94.64
J5053_2,30.23,59377069,OPTIMAL,31.49
J5053_3,40.75,46996416,OPTIMAL,42.17
J5053_4,33.51,46191364,OPTIMAL,34.54
J5053_5,31.45,34097079,OPTIMAL,32.78
J5054_1,37.12,45169701,OPTIMAL,38.16
J5054_2,71.51,53246928,OPTIMAL,73.0
J5054_3,37.63,72911199,OPTIMAL,39.83
J5054_4,70.22,41943762,OPTIMAL,72.94
J5054_5,52.91,45709972,OPTIMAL,54.65
J5055_1,182.41,150449807,SATISFIABLE,185.08
J5055_2,179.13,25818724,UNKNOWN,181.22
J5055_3,178.36,29448252,UNKNOWN,181.04
J5055_4,181.58,65966487,SATISFIABLE,184.29
J5055_5,181.9,92634933,SATISFIABLE,184.39
J5056_1,181.36,69516886,SATISFIABLE,185.24
J5056_2,183.18,126864975,SATISFIABLE,186.13
J5056_3,182.15,124368199,SATISFIABLE,186.03
J5056_4,181.81,80251519,SATISFIABLE,185.7
J5056_5,181.11,67558080,SATISFIABLE,185.01
J5057_1,182.26,121418339,SATISFIABLE,184.74
J5057_2,81.28,86166547,OPTIMAL,83.37
J5057_3,182.76,97575158,SATISFIABLE,185.3
J5057_4,80.93,127371476,OPTIMAL,83.58
J5057_5,108.61,158832908,OPTIMAL,113.55
J5058_1,181.78,111156815,SATISFIABLE,185.0
