benchmark,cpu_time,number_of_decisions,status,wall_time
j2021_2,59.68s,4011636,SATISFIABLE,60.13s
j2021_3,7.42s,4402833,OPTIMAL,7.52s
j2021_4,6.94s,3152182,OPTIMAL,7.15s
j2021_5,60.02s,4970204,SATISFIABLE,60.51s
j2021_6,15.90s,4875685,OPTIMAL,16.10s
j2021_7,33.63s,5224579,OPTIMAL,33.98s
j2021_8,59.82s,2395392,SATISFIABLE,60.19s
j2021_9,22.30s,5573104,OPTIMAL,22.49s
j2022_1,3.21s,5000623,OPTIMAL,3.38s
j2022_10,3.11s,5409657,OPTIMAL,3.41s
j2022_2,2.89s,4449548,OPTIMAL,2.98s
j2022_3,4.00s,6047030,OPTIMAL,4.52s
j2022_4,60.79s,9145461,SATISFIABLE,61.20s
j2022_5,9.21s,5780894,OPTIMAL,9.52s
j2022_6,2.95s,6840104,OPTIMAL,3.04s
j2022_7,3.39s,4946843,OPTIMAL,3.50s
j2022_8,5.98s,6509241,OPTIMAL,6.13s
j2022_9,3.17s,5132611,OPTIMAL,3.25s
j2023_1,3.56s,6318402,OPTIMAL,3.66s
j2023_10,4.48s,8610685,OPTIMAL,4.65s
j2023_2,3.02s,6736698,OPTIMAL,3.12s
j2023_3,1.79s,6430296,OPTIMAL,1.91s
j2023_4,4.16s,5309536,OPTIMAL,4.32s
j2023_5,2.62s,6879114,OPTIMAL,2.77s
j2023_6,1.71s,5470179,OPTIMAL,1.78s
j2023_7,2.53s,10477069,OPTIMAL,2.74s
j2023_8,2.23s,8049752,OPTIMAL,2.32s
j2023_9,1.71s,6126232,OPTIMAL,1.79s
j2024_1,3.24s,8307566,OPTIMAL,3.32s
j2024_10,2.67s,8368045,OPTIMAL,2.86s
j2024_2,3.07s,6311668,OPTIMAL,3.15s
j2024_3,3.13s,8665771,OPTIMAL,3.23s
j2024_4,2.65s,6962531,OPTIMAL,3.21s
j2024_5,1.93s,5869874,OPTIMAL,2.06s
j2024_6,2.06s,8551233,OPTIMAL,2.21s
j2024_7,4.62s,12065417,OPTIMAL,4.74s
j2024_8,3.07s,7040702,OPTIMAL,3.22s
j2024_9,3.21s,9822017,OPTIMAL,3.44s
j2025_1,8.15s,1512718,OPTIMAL,8.26s
j2025_10,2.75s,830068,OPTIMAL,2.87s
j2025_2,1.85s,2466200,OPTIMAL,1.93s
j2025_3,1.37s,977421,OPTIMAL,1.44s
j2025_4,2.21s,1440271,OPTIMAL,2.34s
j2025_5,1.39s,1148511,OPTIMAL,1.59s
j2025_6,1.63s,1149345,OPTIMAL,1.70s
j2025_7,1.14s,1426706,OPTIMAL,1.24s
j2025_8,1.13s,1354968,OPTIMAL,1.24s
j2025_9,3.13s,930654,OPTIMAL,3.37s
j2026_1,1.99s,1854832,OPTIMAL,2.07s
j2026_10,2.47s,1887902,OPTIMAL,2.54s
j2026_2,1.15s,2041726,OPTIMAL,1.78s
j2026_3,2.51s,2129776,OPTIMAL,2.61s
j2026_4,2.02s,2060718,OPTIMAL,2.14s
j2026_5,1.34s,2307324,OPTIMAL,1.43s
j2026_6,2.11s,1906984,OPTIMAL,2.19s
j2026_7,670.71ms,1993972,OPTIMAL,2.20s
j2026_8,1.87s,1491399,OPTIMAL,1.93s
j2026_9,1.15s,1959134,OPTIMAL,1.40s
j2027_1,1.19s,3148293,OPTIMAL,1.32s
j2027_10,2.48s,3901519,OPTIMAL,2.62s
j2027_2,1.49s,2701350,OPTIMAL,1.66s
j2027_3,1.59s,2632526,OPTIMAL,1.70s
j2027_4,1.46s,2948403,OPTIMAL,1.74s
j2027_5,2.18s,2471216,OPTIMAL,2.27s
j2027_6,2.46s,2554725,OPTIMAL,2.55s
j2027_7,1.30s,2695907,OPTIMAL,1.37s
j2027_8,2.37s,3029823,OPTIMAL,2.44s
j2027_9,2.33s,3435471,OPTIMAL,2.45s
j2028_1,1.23s,4351736,OPTIMAL,1.34s
j2028_10,1.95s,5584419,OPTIMAL,2.02s
j2028_2,2.03s,3114664,OPTIMAL,2.14s
j2028_3,2.45s,4633300,OPTIMAL,2.53s
