benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,6.150103790613718,6.43,50,3223309,"{'OPTIMAL': 539, 'SATISFIABLE': 15}"
j30,20.696040375,21.33,64,9186846,"{'OPTIMAL': 371, 'SATISFIABLE': 109, 'UNSATISFIABLE': 80}"
m5,9.105659014336918,9.53,49,3468427,"{'OPTIMAL': 525, 'SATISFIABLE': 33}"
n3,2.0346084,2.26,39,1437923,"{'OPTIMAL': 599, 'SATISFIABLE': 1}"
r5,5.380724615384615,5.68,41,4454136,"{'OPTIMAL': 536, 'SATISFIABLE': 10}"
