benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,15.503789548736464,15.76,29,4995760,"{'OPTIMAL': 479, 'SATISFIABLE': 73, 'UNKNOWN': 2}"
j30,32.934786053882725,33.35,25,39235787,"{'OPTIMAL': 355, 'SATISFIABLE': 122, 'UNKNOWN': 115, 'UNSATISFIABLE': 39}"
m5,20.247298906810038,20.54,26,5615743,"{'OPTIMAL': 435, 'SATISFIABLE': 122, 'UNKNOWN': 1}"
n3,6.423011666666667,6.61,27,2041166,"{'OPTIMAL': 579, 'SATISFIABLE': 19, 'UNKNOWN': 2}"
r5,11.309636520146519,11.58,25,4863584,"{'OPTIMAL': 496, 'SATISFIABLE': 38, 'UNKNOWN': 12}"
