benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,162.05s,522092524,OPTIMAL,164.65s
J50100_2,114.10s,204808910,OPTIMAL,115.00s
J50100_3,179.36s,666198874,UNKNOWN,180.90s
J50100_4,179.04s,612036858,SATISFIABLE,181.91s
J50100_5,178.71s,809400687,UNKNOWN,180.94s
J50101_1,8.73s,10421134,OPTIMAL,9.32s
J50101_2,9.63s,7301726,OPTIMAL,10.01s
J50101_3,7.40s,7615818,OPTIMAL,7.76s
J50101_4,7.32s,5726591,OPTIMAL,7.38s
J50101_5,7.71s,6820073,OPTIMAL,8.61s
J50102_1,21.53s,24425373,OPTIMAL,22.17s
J50102_2,47.05s,34807175,OPTIMAL,47.51s
J50102_3,39.61s,46267881,OPTIMAL,40.68s
J50102_4,27.52s,33204023,OPTIMAL,28.02s
J50102_5,46.47s,32119751,OPTIMAL,47.53s
J50103_1,177.95s,969263561,UNKNOWN,180.68s
J50103_2,177.39s,1183235842,UNKNOWN,180.43s
J50103_3,177.68s,943716843,UNKNOWN,180.54s
J50103_4,178.90s,1132981989,UNKNOWN,180.02s
J50103_5,179.52s,1146280861,UNKNOWN,180.60s
J50104_1,179.28s,1027675870,UNKNOWN,180.48s
J50104_2,177.10s,907726452,UNKNOWN,180.45s
J50104_3,179.33s,1029003408,UNKNOWN,180.97s
J50104_4,179.28s,1010357299,UNKNOWN,180.14s
J50104_5,177.19s,815852289,UNKNOWN,180.90s
J50105_1,35.03s,40723233,OPTIMAL,37.45s
J50105_2,88.20s,84819914,OPTIMAL,89.07s
J50105_3,36.89s,85292298,OPTIMAL,37.63s
J50105_4,48.43s,65414887,OPTIMAL,49.10s
J50105_5,26.84s,84187795,OPTIMAL,27.78s
J50106_1,178.68s,1216661491,UNKNOWN,180.09s
J50106_2,177.39s,987910513,UNKNOWN,180.06s
J50106_3,179.50s,1099740589,UNKNOWN,180.38s
J50106_4,179.36s,945738339,UNKNOWN,181.00s
J50106_5,179.07s,1186644331,UNKNOWN,180.75s
J50107_1,10.93s,8642884,OPTIMAL,11.62s
J50107_2,10.81s,8299677,OPTIMAL,11.35s
J50107_3,13.95s,12450185,OPTIMAL,14.52s
J50107_4,12.11s,12240962,OPTIMAL,12.34s
J50107_5,9.70s,8874419,OPTIMAL,10.50s
J50108_1,29.48s,69457472,OPTIMAL,30.34s
J50108_2,33.76s,73056602,OPTIMAL,35.91s
J50108_3,32.74s,45778594,OPTIMAL,33.92s
J50108_4,65.53s,40078512,OPTIMAL,65.93s
J50108_5,88.72s,66257314,OPTIMAL,89.60s
J5010_1,179.55s,1084482602,UNKNOWN,180.65s
J5010_2,182.32s,507297503,SATISFIABLE,183.64s
J5010_3,179.19s,1005582287,UNKNOWN,180.55s
J5010_4,179.66s,1007814064,UNKNOWN,180.82s
J5010_5,181.35s,619880615,SATISFIABLE,186.05s
J5011_1,179.40s,18082906,UNKNOWN,180.76s
J5011_2,179.39s,19466198,UNKNOWN,180.38s
J5011_3,178.34s,14541295,UNKNOWN,180.45s
J5011_4,179.06s,15758732,UNKNOWN,180.47s
J5011_5,178.72s,18609696,UNKNOWN,180.68s
J5012_1,179.36s,19389480,UNKNOWN,180.79s
J5012_2,178.81s,14154049,UNKNOWN,180.93s
J5012_3,179.32s,18944924,UNKNOWN,180.82s
J5012_4,179.71s,16401062,UNKNOWN,180.99s
J5012_5,178.60s,15971320,UNKNOWN,180.03s
J5013_1,180.54s,470863528,SATISFIABLE,182.70s
J5013_2,179.65s,495922351,UNKNOWN,180.89s
J5013_3,178.63s,389077610,UNKNOWN,180.16s
J5013_4,178.53s,463963044,UNKNOWN,180.02s
J5013_5,179.44s,919856391,UNKNOWN,180.45s
J5014_1,177.44s,815692136,UNKNOWN,180.04s
J5014_2,178.77s,385313614,UNKNOWN,180.69s
J5014_3,178.46s,826026439,UNKNOWN,180.04s
J5014_4,178.02s,577572206,UNKNOWN,180.23s
J5014_5,178.97s,564890539,UNKNOWN,180.49s
J5015_1,12.36s,56325514,OPTIMAL,13.14s
