benchmark,cpu_time,number_of_decisions,status,wall_time
J5075_5,54.01s,7835947,OPTIMAL,54.67s
J5076_1,180.65s,2635173,SATISFIABLE,181.83s
J5076_2,180.94s,3037360,SATISFIABLE,182.47s
J5076_3,180.34s,1241314,SATISFIABLE,181.61s
J5076_4,117.02s,2435444,OPTIMAL,118.32s
J5076_5,180.89s,1930961,SATISFIABLE,183.10s
J5077_1,9.87s,1232961,OPTIMAL,10.29s
J5077_2,7.35s,979227,OPTIMAL,8.10s
J5077_3,6.53s,349476,OPTIMAL,6.92s
J5077_4,8.90s,876903,OPTIMAL,9.36s
J5077_5,8.99s,989167,OPTIMAL,9.40s
J5078_1,17.03s,2117958,OPTIMAL,18.08s
J5078_2,9.53s,800915,OPTIMAL,9.87s
J5078_3,14.02s,615192,OPTIMAL,14.53s
J5078_4,14.15s,2049746,OPTIMAL,14.61s
J5078_5,9.32s,475079,OPTIMAL,9.76s
J5079_1,180.30s,2933174,SATISFIABLE,182.37s
J5079_2,181.59s,5825076,SATISFIABLE,182.81s
J5079_3,181.36s,1807298,SATISFIABLE,182.96s
J5079_4,181.29s,4315097,SATISFIABLE,182.91s
J5079_5,181.08s,2633267,SATISFIABLE,182.34s
J507_1,181.83s,2105409,SATISFIABLE,183.45s
J507_2,179.11s,816761,UNKNOWN,180.58s
J507_3,181.19s,4831969,SATISFIABLE,183.18s
J507_4,181.75s,5591906,SATISFIABLE,183.02s
J507_5,181.68s,2079238,SATISFIABLE,183.20s
J5080_1,180.36s,7059299,SATISFIABLE,182.57s
J5080_2,181.39s,3317336,SATISFIABLE,182.98s
J5080_3,180.61s,3261182,SATISFIABLE,182.11s
J5080_4,181.35s,3078282,SATISFIABLE,182.62s
J5080_5,181.36s,1293178,SATISFIABLE,182.49s
J5081_1,181.71s,2351583,SATISFIABLE,183.03s
J5081_2,53.09s,704947,OPTIMAL,53.73s
J5081_3,181.17s,1779184,SATISFIABLE,182.50s
J5081_4,180.91s,4779329,SATISFIABLE,182.86s
J5081_5,180.08s,1472739,SATISFIABLE,182.09s
J5082_1,181.35s,3986065,SATISFIABLE,182.69s
J5082_2,180.99s,3425341,SATISFIABLE,182.57s
J5082_3,181.29s,8854590,SATISFIABLE,182.94s
J5082_4,179.82s,4013684,SATISFIABLE,182.27s
J5082_5,181.12s,1844896,SATISFIABLE,182.57s
J5083_1,181.34s,2737717,SATISFIABLE,182.74s
J5083_2,64.66s,3379329,OPTIMAL,65.41s
J5083_3,180.31s,2939609,SATISFIABLE,182.50s
J5083_4,180.91s,3353537,SATISFIABLE,182.37s
J5083_5,181.34s,1660323,SATISFIABLE,182.67s
J5084_1,181.25s,3672794,SATISFIABLE,182.67s
J5084_2,180.63s,4313917,SATISFIABLE,182.59s
J5084_3,181.51s,3453848,SATISFIABLE,182.82s
J5084_4,180.44s,3849976,SATISFIABLE,182.12s
J5084_5,180.77s,5327587,SATISFIABLE,182.47s
J5085_1,180.76s,1337439,SATISFIABLE,181.92s
J5085_2,180.56s,1154890,SATISFIABLE,182.02s
J5085_3,181.40s,1151051,SATISFIABLE,182.87s
J5085_4,181.79s,1616003,SATISFIABLE,182.98s
J5085_5,181.37s,1143799,SATISFIABLE,182.77s
J5086_1,180.72s,1343777,SATISFIABLE,181.99s
J5086_2,180.82s,1235495,SATISFIABLE,182.26s
J5086_3,181.41s,1892821,SATISFIABLE,182.73s
J5086_4,181.27s,5902732,SATISFIABLE,182.60s
J5086_5,178.85s,1763395,SATISFIABLE,181.93s
J5087_1,8.03s,659394,OPTIMAL,8.52s
J5087_2,8.46s,511302,OPTIMAL,8.87s
J5087_3,8.40s,528224,OPTIMAL,9.22s
J5087_4,7.32s,480838,OPTIMAL,7.83s
J5087_5,10.09s,874381,OPTIMAL,10.47s
J5088_1,180.88s,1472484,SATISFIABLE,182.31s
J5088_2,180.69s,1135316,SATISFIABLE,182.13s
J5088_3,180.65s,1240837,SATISFIABLE,182.47s
J5088_4,180.92s,1469390,SATISFIABLE,182.64s
J5088_5,180.46s,1023028,SATISFIABLE,181.95s
J5089_1,4.92s,30250,OPTIMAL,5.38s
J5089_2,4.80s,49775,OPTIMAL,5.20s
J5089_3,8.21s,337811,OPTIMAL,8.69s
J5089_4,4.68s,40664,OPTIMAL,5.08s
J5089_5,4.85s,172738,OPTIMAL,5.24s
J508_1,182.07s,2173937,SATISFIABLE,183.76s
J508_2,181.99s,5598864,SATISFIABLE,183.88s
J508_3,181.30s,5701147,SATISFIABLE,182.89s
J508_4,181.04s,3504774,SATISFIABLE,183.41s
J508_5,180.99s,5569673,SATISFIABLE,182.96s
J5090_1,6.47s,333227,OPTIMAL,6.89s
J5090_2,12.10s,1360689,OPTIMAL,12.84s
J5090_3,12.46s,934606,OPTIMAL,13.00s
J5090_4,9.04s,724282,OPTIMAL,9.60s
J5090_5,13.29s,1246603,OPTIMAL,13.76s
J5091_1,177.96s,1189026,SATISFIABLE,182.94s
J5091_2,180.91s,4290489,SATISFIABLE,182.28s
J5091_3,181.74s,1751108,SATISFIABLE,182.98s
J5091_4,181.39s,1048930,SATISFIABLE,183.44s
J5091_5,181.87s,3050814,SATISFIABLE,183.44s
J5092_1,182.08s,1782114,SATISFIABLE,184.16s
J5092_2,180.76s,4104681,SATISFIABLE,182.29s
J5092_3,181.32s,2533478,SATISFIABLE,182.89s
J5092_4,181.65s,1253453,SATISFIABLE,183.46s
J5092_5,181.92s,2234148,SATISFIABLE,183.29s
J5093_1,25.48s,1571849,OPTIMAL,27.31s
J5093_2,18.21s,647206,OPTIMAL,19.08s
J5093_3,13.90s,702025,OPTIMAL,15.31s
J5093_4,156.63s,1411531,OPTIMAL,158.12s
J5093_5,26.29s,790089,OPTIMAL,27.09s
J5094_1,181.49s,2236590,SATISFIABLE,182.63s
J5094_2,180.73s,1361371,SATISFIABLE,183.14s
J5094_3,181.81s,1835976,SATISFIABLE,183.07s
J5094_4,182.00s,1449713,SATISFIABLE,183.54s
J5094_5,182.00s,1568495,SATISFIABLE,183.54s
J5095_1,31.09s,3344952,OPTIMAL,31.79s
J5095_2,35.19s,4165566,OPTIMAL,38.71s
J5095_3,49.76s,2237279,OPTIMAL,50.39s
J5095_4,7.21s,82270,OPTIMAL,7.59s
J5095_5,12.82s,236932,OPTIMAL,13.42s
