benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,average_objective_area,statuses
j20,13.89,14.04,33,537925,553.8643754512635,"{'OPTIMAL': 490, 'SATISFIABLE': 64}"
j30,31.68,32.0,33,2579398,1626.9052053763442,"{'OPTIMAL': 356, 'UNKNOWN': 124, 'SATISFIABLE': 109, 'UNSATISFIABLE': 42}"
m5,19.8,20.0,33,528699,582.8870458633094,"{'OPTIMAL': 438, 'SATISFIABLE': 118, 'UNKNOWN': 2}"
n3,5.83,5.96,27,246360,200.67926794657762,"{'OPTIMAL': 580, 'SATISFIABLE': 19, 'UNKNOWN': 1}"
r5,11.78,11.94,27,468253,435.5378075471698,"{'OPTIMAL': 488, 'SATISFIABLE': 42, 'UNKNOWN': 16}"
