benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,average_objective_area,statuses
j20,5.13,5.72,25,295436,185.7934142599278,"{'OPTIMAL': 536, 'SATISFIABLE': 18}"
j30,16.97,17.74,28,674183,712.5945372050816,"{'OPTIMAL': 429, 'SATISFIABLE': 122, 'UNSATISFIABLE': 80}"
m5,7.8,8.3,23,239731,155.7392123655914,"{'OPTIMAL': 523, 'SATISFIABLE': 35}"
n3,1.64,2.29,22,172490,88.01465750000001,"{'OPTIMAL': 599, 'SATISFIABLE': 1}"
r5,4.78,5.44,24,392487,191.54727930402933,"{'OPTIMAL': 535, 'SATISFIABLE': 11}"
