benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,average_objective_area,statuses
j20,6.3,6.68,50,3222649,353.23582220216605,"{'OPTIMAL': 538, 'SATISFIABLE': 16}"
j30,22.91,23.45,65,11959739,1983.223635208711,"{'OPTIMAL': 428, 'SATISFIABLE': 123, 'UNSATISFIABLE': 80}"
m5,8.68,9.04,49,3468941,299.3874157706093,"{'OPTIMAL': 529, 'SATISFIABLE': 29}"
n3,1.95,2.17,39,1437987,127.28216583333332,"{'OPTIMAL': 598, 'SATISFIABLE': 2}"
r5,5.85,6.22,41,4452747,314.0035576923077,"{'OPTIMAL': 533, 'SATISFIABLE': 13}"
