benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,1.32s,1375186,OPTIMAL,1.42s
j2010_10,1.70s,1626240,OPTIMAL,1.79s
j2010_2,1.31s,2227668,OPTIMAL,1.43s
j2010_3,1.21s,1703824,OPTIMAL,1.33s
j2010_4,3.28s,1846514,OPTIMAL,3.35s
j2010_5,1.25s,2359975,OPTIMAL,1.43s
j2010_6,2.71s,2546417,OPTIMAL,2.83s
j2010_7,1.55s,1633074,OPTIMAL,1.61s
j2010_8,1.31s,2213168,OPTIMAL,1.40s
j2010_9,2.52s,1412411,OPTIMAL,2.59s
j2011_1,2.31s,4055066,OPTIMAL,2.94s
j2011_10,3.80s,3281093,OPTIMAL,3.89s
j2011_2,989.35ms,3031248,OPTIMAL,1.08s
j2011_3,2.43s,2569926,OPTIMAL,2.52s
j2011_4,2.42s,2542209,OPTIMAL,2.55s
j2011_5,3.80s,4098534,OPTIMAL,3.89s
j2011_6,2.18s,3409473,OPTIMAL,2.26s
j2011_7,1.17s,2164048,OPTIMAL,1.23s
j2011_8,2.57s,3226521,OPTIMAL,2.73s
j2011_9,2.57s,3233560,OPTIMAL,2.64s
j2012_1,6.33s,3963380,OPTIMAL,6.43s
j2012_10,1.52s,3696981,OPTIMAL,1.59s
j2012_2,1.31s,4391398,OPTIMAL,1.38s
j2012_3,3.57s,5223486,OPTIMAL,3.74s
j2012_4,1.41s,3868603,OPTIMAL,1.50s
j2012_5,2.86s,6004338,OPTIMAL,3.68s
j2012_6,1.93s,7072013,OPTIMAL,2.04s
j2012_7,876.56ms,3283875,OPTIMAL,2.18s
j2012_8,2.25s,3599027,OPTIMAL,2.41s
j2012_9,3.18s,2400200,OPTIMAL,3.26s
j2013_1,20.53s,4056547,SATISFIABLE,20.70s
j2013_10,20.26s,1775590,SATISFIABLE,20.45s
j2013_2,20.17s,2205036,SATISFIABLE,20.36s
j2013_3,20.70s,633490,SATISFIABLE,20.87s
j2013_4,13.33s,4620073,OPTIMAL,13.44s
j2013_5,20.82s,5290785,SATISFIABLE,20.98s
j2013_6,14.78s,3774805,OPTIMAL,15.01s
j2013_7,20.14s,1076021,UNKNOWN,20.36s
j2013_8,20.19s,3098213,SATISFIABLE,20.50s
j2013_9,20.14s,3838744,SATISFIABLE,20.30s
j2014_1,4.66s,3698816,OPTIMAL,4.73s
j2014_10,4.31s,5336508,OPTIMAL,4.42s
j2014_2,5.95s,5772824,OPTIMAL,6.04s
j2014_3,5.68s,8393338,OPTIMAL,5.78s
j2014_4,14.10s,6209172,OPTIMAL,14.22s
j2014_5,7.62s,4308012,OPTIMAL,7.73s
j2014_6,5.14s,5574564,OPTIMAL,5.25s
j2014_7,3.23s,4398893,OPTIMAL,3.30s
j2014_8,17.37s,6223873,OPTIMAL,18.80s
j2014_9,4.46s,5837351,OPTIMAL,4.58s
j2015_1,4.65s,6045238,OPTIMAL,4.74s
j2015_10,1.81s,6189649,OPTIMAL,1.90s
j2015_2,3.61s,6903708,OPTIMAL,4.17s
j2015_3,5.99s,9741576,OPTIMAL,6.10s
j2015_4,4.33s,8409806,OPTIMAL,4.44s
j2015_5,3.06s,6627494,OPTIMAL,3.19s
j2015_6,3.50s,9446811,OPTIMAL,3.60s
j2015_7,3.95s,9066100,OPTIMAL,4.03s
j2015_8,3.43s,7362182,OPTIMAL,3.53s
j2015_9,2.60s,9709544,OPTIMAL,2.71s
j2016_1,4.03s,8443715,OPTIMAL,4.12s
j2016_10,4.63s,7604751,OPTIMAL,4.76s
j2016_2,3.33s,9104034,OPTIMAL,4.16s
j2016_3,3.20s,7860996,OPTIMAL,3.37s
j2016_4,6.51s,9257490,OPTIMAL,6.64s
j2016_5,3.05s,7862924,OPTIMAL,3.20s
j2016_6,3.77s,7910285,OPTIMAL,3.88s
j2016_7,3.66s,10067775,OPTIMAL,4.05s
j2016_8,7.07s,7519857,OPTIMAL,7.30s
j2016_9,3.71s,11005525,OPTIMAL,3.81s
j2017_1,2.80s,1810732,OPTIMAL,2.92s
j2017_10,1.96s,1167657,OPTIMAL,2.02s
j2017_2,2.86s,980052,OPTIMAL,2.93s
j2017_3,1.90s,1657371,OPTIMAL,1.97s
j2017_4,2.39s,1124145,OPTIMAL,2.46s
j2017_5,1.59s,1001313,OPTIMAL,1.75s
j2017_6,2.30s,746979,OPTIMAL,2.40s
j2017_7,3.18s,1436943,OPTIMAL,3.26s
j2017_8,1.85s,1249105,OPTIMAL,1.92s
j2017_9,1.74s,1297996,OPTIMAL,1.82s
j2018_1,1.31s,1817584,OPTIMAL,1.38s
j2018_10,2.43s,1440890,OPTIMAL,2.52s
j2018_2,2.00s,2787184,OPTIMAL,2.21s
j2018_3,1.64s,2039701,OPTIMAL,1.71s
j2018_4,2.42s,1230385,OPTIMAL,2.50s
j2018_5,1.85s,2215843,OPTIMAL,1.91s
j2018_6,1.35s,1578748,OPTIMAL,1.42s
j2018_7,1.96s,1576754,OPTIMAL,2.06s
j2018_8,1.16s,1971682,OPTIMAL,1.24s
j2018_9,2.22s,1339577,OPTIMAL,2.32s
j2019_1,1.33s,2615252,OPTIMAL,1.96s
