benchmark,cpu_time,number_of_decisions,status,wall_time
j2021_3,2.66s,547900,OPTIMAL,2.83s
j2021_4,1.84s,266904,OPTIMAL,1.93s
j2021_5,2.80s,526629,OPTIMAL,2.90s
j2021_6,1.30s,267186,OPTIMAL,1.57s
j2021_7,1.66s,327858,OPTIMAL,1.88s
j2021_8,19.73s,564594,OPTIMAL,19.90s
j2021_9,1.92s,293948,OPTIMAL,2.03s
j2022_1,1.27s,217014,OPTIMAL,1.36s
j2022_10,1.27s,185210,OPTIMAL,1.35s
j2022_2,2.09s,570983,OPTIMAL,2.20s
j2022_3,1.27s,234548,OPTIMAL,1.35s
j2022_4,3.44s,385520,OPTIMAL,3.86s
j2022_5,2.37s,488257,OPTIMAL,2.50s
j2022_6,1.23s,187347,OPTIMAL,1.30s
j2022_7,1.11s,230677,OPTIMAL,1.70s
j2022_8,2.08s,310542,OPTIMAL,2.18s
j2022_9,779.52ms,133810,OPTIMAL,861.68ms
j2023_1,1.28s,218098,OPTIMAL,1.83s
j2023_10,1.46s,222715,OPTIMAL,2.34s
j2023_2,958.07ms,149517,OPTIMAL,1.03s
j2023_3,1.21s,220016,OPTIMAL,1.28s
j2023_4,1.21s,204434,OPTIMAL,1.36s
j2023_5,1.32s,207364,OPTIMAL,1.47s
j2023_6,1.19s,191619,OPTIMAL,1.31s
j2023_7,1.91s,306249,OPTIMAL,2.07s
j2023_8,1.14s,169388,OPTIMAL,1.28s
j2023_9,878.78ms,120959,OPTIMAL,2.33s
j2024_1,1.35s,208331,OPTIMAL,1.44s
j2024_10,1.46s,238595,OPTIMAL,1.63s
j2024_2,1.30s,164971,OPTIMAL,1.39s
j2024_3,1.75s,277692,OPTIMAL,1.83s
j2024_4,1.25s,207289,OPTIMAL,2.22s
j2024_5,1.27s,190230,OPTIMAL,1.34s
j2024_6,1.42s,169546,OPTIMAL,1.51s
j2024_7,1.63s,249986,OPTIMAL,2.02s
j2024_8,1.40s,193213,OPTIMAL,1.53s
j2024_9,1.85s,272293,OPTIMAL,2.04s
j2025_1,1.01s,356983,OPTIMAL,1.10s
j2025_10,586.08ms,235283,OPTIMAL,698.58ms
j2025_2,574.46ms,151476,OPTIMAL,973.15ms
j2025_3,686.11ms,397689,OPTIMAL,1.57s
j2025_4,446.89ms,122544,OPTIMAL,533.39ms
j2025_5,564.71ms,132965,OPTIMAL,672.79ms
j2025_6,301.09ms,92028,OPTIMAL,367.88ms
j2025_7,549.79ms,153959,OPTIMAL,663.26ms
j2025_8,385.85ms,104771,OPTIMAL,517.23ms
