benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,1.08s,1478338.0,OPTIMAL,1.15s
j2010_10,804.46ms,1107506.0,OPTIMAL,5.96s
j2010_2,1.52s,2163257.0,OPTIMAL,1.61s
j2010_3,2.83s,1827052.0,OPTIMAL,2.90s
j2010_4,1.50s,1208462.0,OPTIMAL,1.57s
j2010_5,1.05s,1633137.0,OPTIMAL,11.76s
j2010_6,752.56ms,1272962.0,OPTIMAL,820.14ms
j2010_7,1.52s,1456101.0,OPTIMAL,1.59s
j2010_8,1.12s,1152507.0,OPTIMAL,1.19s
j2010_9,479.81ms,523383.0,OPTIMAL,546.77ms
j2011_1,3.09s,2998551.0,OPTIMAL,3.18s
j2011_10,1.84s,2454446.0,OPTIMAL,1.92s
j2011_2,2.12s,2584732.0,OPTIMAL,2.20s
j2011_3,1.83s,1892259.0,OPTIMAL,1.90s
j2011_4,2.04s,2206787.0,OPTIMAL,2.12s
j2011_5,1.11s,1975929.0,OPTIMAL,1.18s
j2011_6,1.63s,2724179.0,OPTIMAL,1.73s
j2011_7,2.41s,1761184.0,OPTIMAL,2.48s
j2011_8,2.18s,3002311.0,OPTIMAL,2.26s
j2011_9,1.49s,1688254.0,OPTIMAL,1.55s
j2012_1,1.82s,2087476.0,OPTIMAL,1.87s
j2012_10,3.50s,5611530.0,OPTIMAL,3.57s
j2012_2,1.21s,2558620.0,OPTIMAL,1.27s
j2012_3,1.01s,1790226.0,OPTIMAL,1.08s
j2012_4,1.41s,2587593.0,OPTIMAL,1.49s
j2012_5,1.95s,2042938.0,OPTIMAL,2.02s
j2012_6,2.27s,3602814.0,OPTIMAL,2.35s
j2012_7,1.35s,2713382.0,OPTIMAL,1.88s
j2012_8,2.25s,3312034.0,OPTIMAL,2.33s
j2012_9,954.82ms,1120252.0,OPTIMAL,1.03s
j2013_1,13.95s,2332210.0,OPTIMAL,16.69s
j2013_10,20.18s,1672895.0,SATISFIABLE,20.38s
j2013_2,5.82s,1768188.0,OPTIMAL,5.93s
j2013_3,18.76s,1842872.0,SATISFIABLE,20.49s
j2013_4,3.99s,2213717.0,OPTIMAL,4.08s
j2013_5,14.83s,2320851.0,OPTIMAL,15.46s
j2013_6,3.71s,1923297.0,OPTIMAL,3.80s
j2013_7,16.34s,1566767.0,OPTIMAL,17.02s
j2013_8,17.58s,1595313.0,OPTIMAL,17.74s
j2013_9,3.00s,1676522.0,OPTIMAL,3.15s
j2014_1,1.91s,2289768.0,OPTIMAL,1.99s
j2014_10,5.16s,4043001.0,OPTIMAL,5.43s
j2014_2,2.09s,2890838.0,OPTIMAL,2.21s
j2014_3,5.02s,4438580.0,OPTIMAL,5.15s
j2014_4,7.09s,3835905.0,OPTIMAL,7.24s
j2014_5,2.32s,2591138.0,OPTIMAL,2.43s
j2014_6,1.79s,2421409.0,OPTIMAL,1.87s
j2014_7,1.90s,2714432.0,OPTIMAL,1.99s
j2014_8,4.00s,3528869.0,OPTIMAL,4.09s
j2014_9,5.49s,4500295.0,OPTIMAL,5.60s
j2015_1,3.75s,3754016.0,OPTIMAL,3.89s
j2015_10,1.80s,3275777.0,OPTIMAL,7.99s
j2015_2,9.19s,6681617.0,OPTIMAL,9.33s
j2015_3,3.10s,5066712.0,OPTIMAL,3.21s
j2015_4,5.62s,5435319.0,OPTIMAL,5.77s
j2015_5,5.91s,6158319.0,OPTIMAL,6.06s
j2015_6,6.75s,7927428.0,OPTIMAL,6.85s
j2015_7,3.34s,6775890.0,OPTIMAL,3.48s
j2015_8,3.70s,4851568.0,OPTIMAL,3.78s
j2015_9,5.73s,8376928.0,OPTIMAL,11.53s
j2016_1,4.40s,7343359.0,OPTIMAL,4.49s
j2016_10,8.70s,6008122.0,OPTIMAL,8.83s
j2016_2,3.90s,6872610.0,OPTIMAL,12.36s
j2016_3,4.27s,7158364.0,OPTIMAL,4.36s
j2016_4,7.89s,6663510.0,OPTIMAL,8.02s
j2016_5,3.91s,6326378.0,OPTIMAL,6.47s
j2016_6,5.10s,6647980.0,OPTIMAL,5.22s
j2016_7,8.08s,11244910.0,OPTIMAL,8.71s
j2016_8,5.14s,6028976.0,OPTIMAL,5.27s
j2016_9,2.59s,7275212.0,OPTIMAL,2.73s
j2017_1,1.22s,865774.0,OPTIMAL,1.29s
j2017_10,604.01ms,727566.0,OPTIMAL,676.49ms
j2017_2,871.94ms,535063.0,OPTIMAL,960.67ms
j2017_3,1.00s,1253740.0,OPTIMAL,9.50s
j2017_4,1.29s,812682.0,OPTIMAL,1.35s
j2017_5,714.52ms,1023858.0,OPTIMAL,763.92ms
j2017_6,677.80ms,533274.0,OPTIMAL,732.49ms
j2017_7,2.19s,1269868.0,OPTIMAL,2.29s
j2017_8,944.97ms,1131271.0,OPTIMAL,1.01s
j2017_9,823.45ms,1125927.0,OPTIMAL,876.78ms
j2018_1,1.77s,2074376.0,OPTIMAL,1.83s
j2018_10,2.42s,1586459.0,OPTIMAL,2.49s
j2018_2,1.74s,2750741.0,OPTIMAL,1.82s
j2018_3,1.46s,1805883.0,OPTIMAL,1.52s
j2018_4,1.63s,1206383.0,OPTIMAL,1.71s
j2018_5,1.13s,1811038.0,OPTIMAL,1.18s
j2018_6,1.63s,1494968.0,OPTIMAL,1.71s
j2018_7,2.14s,1632839.0,OPTIMAL,2.22s
j2018_8,1.87s,1832727.0,OPTIMAL,1.97s
j2018_9,1.69s,1155073.0,OPTIMAL,1.77s
j2019_1,2.27s,2641339.0,OPTIMAL,2.40s
j2019_10,1.07s,1300307.0,OPTIMAL,1.15s
j2019_2,1.25s,1542983.0,OPTIMAL,1.33s
j2019_3,1.37s,1772419.0,OPTIMAL,1.44s
j2019_4,1.09s,1623560.0,OPTIMAL,1.14s
j2019_5,2.67s,3010324.0,OPTIMAL,2.75s
j2019_6,1.25s,1752381.0,OPTIMAL,1.30s
j2019_7,1.84s,2499958.0,OPTIMAL,1.90s
j2019_8,1.74s,2148475.0,OPTIMAL,1.90s
j2019_9,1.75s,2325123.0,OPTIMAL,1.84s
j2020_1,2.62s,2562156.0,OPTIMAL,2.87s
j2020_10,3.70s,3648062.0,OPTIMAL,3.77s
j2020_2,1.71s,2808772.0,OPTIMAL,1.79s
j2020_3,2.27s,2291172.0,OPTIMAL,2.33s
j2020_4,1.61s,3209128.0,OPTIMAL,1.67s
j2020_5,2.03s,2416275.0,OPTIMAL,2.09s
j2020_6,5.52s,4317445.0,OPTIMAL,5.59s
j2020_7,2.66s,3414126.0,OPTIMAL,2.76s
j2020_8,3.00s,3737711.0,OPTIMAL,3.11s
j2020_9,1.50s,2351949.0,OPTIMAL,1.59s
j2021_1,5.28s,2022636.0,OPTIMAL,5.36s
j2021_10,6.88s,2026263.0,OPTIMAL,7.06s
j2021_2,19.11s,2008073.0,OPTIMAL,19.30s
j2021_3,3.52s,2226133.0,OPTIMAL,3.62s
j2021_4,1.66s,1483996.0,OPTIMAL,9.12s
j2021_5,5.42s,3639265.0,OPTIMAL,5.54s
j2021_6,4.19s,2481799.0,OPTIMAL,4.39s
j2021_7,4.84s,2687894.0,OPTIMAL,4.93s
j2021_8,20.15s,3012494.0,SATISFIABLE,20.38s
j2021_9,2.49s,2295941.0,OPTIMAL,2.57s
j2022_1,2.11s,3700280.0,OPTIMAL,6.98s
j2022_10,3.32s,5468636.0,OPTIMAL,3.39s
j2022_2,2.77s,2730501.0,OPTIMAL,2.87s
j2022_3,4.90s,4463472.0,OPTIMAL,5.01s
j2022_4,7.40s,5214591.0,OPTIMAL,7.54s
j2022_5,3.12s,3124610.0,OPTIMAL,3.21s
j2022_6,5.07s,5202907.0,OPTIMAL,5.23s
j2022_7,2.01s,2312180.0,OPTIMAL,2.11s
j2022_8,7.42s,3979850.0,OPTIMAL,7.54s
j2022_9,6.26s,4496647.0,OPTIMAL,6.35s
j2023_1,4.77s,5417191.0,OPTIMAL,4.87s
j2023_10,3.35s,6773097.0,OPTIMAL,3.44s
j2023_2,5.85s,6922626.0,OPTIMAL,5.98s
j2023_3,7.97s,5947107.0,OPTIMAL,8.14s
j2023_4,3.20s,5178360.0,OPTIMAL,3.28s
j2023_5,4.32s,8211572.0,OPTIMAL,4.43s
j2023_6,6.26s,4371761.0,OPTIMAL,6.43s
j2023_7,7.56s,8118193.0,OPTIMAL,7.72s
j2023_8,4.07s,7319856.0,OPTIMAL,6.01s
j2023_9,7.48s,5226202.0,OPTIMAL,7.60s
j2024_1,4.38s,6730534.0,OPTIMAL,4.49s
j2024_10,5.51s,10026831.0,OPTIMAL,8.85s
j2024_2,4.64s,5507168.0,OPTIMAL,4.85s
j2024_3,4.85s,11429839.0,OPTIMAL,7.19s
j2024_4,3.25s,6319825.0,OPTIMAL,3.32s
j2024_5,2.83s,4981862.0,OPTIMAL,3.79s
j2024_6,4.73s,9700332.0,OPTIMAL,11.66s
j2024_7,6.14s,13453040.0,OPTIMAL,6.29s
j2024_8,6.53s,6973423.0,OPTIMAL,6.63s
j2024_9,5.96s,12524364.0,OPTIMAL,6.78s
j2025_1,504.62ms,649979.0,OPTIMAL,594.52ms
j2025_10,894.96ms,680393.0,OPTIMAL,962.96ms
j2025_2,828.64ms,1179135.0,OPTIMAL,940.97ms
j2025_3,544.54ms,719168.0,OPTIMAL,809.41ms
j2025_4,1.12s,938026.0,OPTIMAL,1.21s
j2025_5,889.31ms,1001194.0,OPTIMAL,976.45ms
j2025_6,1.44s,1222530.0,OPTIMAL,1.53s
j2025_7,584.34ms,730371.0,OPTIMAL,667.08ms
j2025_8,2.13s,1377560.0,OPTIMAL,2.21s
j2025_9,1.01s,779581.0,OPTIMAL,1.06s
j2026_1,1.74s,1634858.0,OPTIMAL,1.83s
j2026_10,1.34s,1137146.0,OPTIMAL,1.59s
j2026_2,1.21s,1387381.0,OPTIMAL,1.29s
j2026_3,2.46s,2094795.0,OPTIMAL,6.68s
j2026_4,1.22s,1209634.0,OPTIMAL,1.27s
j2026_5,1.16s,1665329.0,OPTIMAL,1.23s
j2026_6,1.30s,984368.0,OPTIMAL,1.38s
j2026_7,708.31ms,1209195.0,OPTIMAL,770.89ms
j2026_8,1.94s,1532998.0,OPTIMAL,2.03s
j2026_9,1.68s,1772207.0,OPTIMAL,1.77s
j2027_1,3.50s,3575981.0,OPTIMAL,3.66s
j2027_10,3.13s,3351863.0,OPTIMAL,3.24s
j2027_2,2.00s,3084386.0,OPTIMAL,2.11s
j2027_3,1.71s,2434333.0,OPTIMAL,1.78s
j2027_4,1.60s,2349327.0,OPTIMAL,1.68s
j2027_5,1.60s,2146486.0,OPTIMAL,1.68s
j2027_6,1.41s,2465563.0,OPTIMAL,1.51s
j2027_7,3.05s,2895286.0,OPTIMAL,3.13s
j2027_8,2.08s,2654512.0,OPTIMAL,2.18s
j2027_9,1.76s,2459979.0,OPTIMAL,1.83s
j2028_1,2.56s,3096818.0,OPTIMAL,2.63s
j2028_10,2.38s,2814385.0,OPTIMAL,2.48s
j2028_2,2.61s,2892395.0,OPTIMAL,2.69s
j2028_3,3.03s,4683249.0,OPTIMAL,3.12s
j2028_4,1.51s,2202737.0,OPTIMAL,1.59s
j2028_5,2.37s,3708770.0,OPTIMAL,2.44s
j2028_6,2.70s,3139271.0,OPTIMAL,2.81s
j2028_7,844.31ms,1564089.0,OPTIMAL,918.30ms
j2028_8,2.97s,3893115.0,OPTIMAL,3.33s
j2028_9,2.32s,4653288.0,OPTIMAL,2.42s
j2029_1,20.21s,1877758.0,SATISFIABLE,20.44s
j2029_10,4.13s,1878552.0,OPTIMAL,4.22s
j2029_2,2.17s,2678558.0,OPTIMAL,2.26s
j2029_3,2.33s,2488505.0,OPTIMAL,2.46s
j2029_4,4.72s,2017783.0,OPTIMAL,4.83s
j2029_5,17.05s,3014843.0,SATISFIABLE,26.89s
j2029_6,7.72s,1712401.0,OPTIMAL,8.06s
j2029_7,20.66s,3388634.0,SATISFIABLE,20.85s
j2029_8,4.08s,3558918.0,OPTIMAL,4.19s
j2029_9,9.25s,2175334.0,OPTIMAL,9.38s
j2030_1,3.64s,3999725.0,OPTIMAL,3.93s
j2030_10,3.81s,3150856.0,OPTIMAL,3.95s
j2030_2,3.31s,4806693.0,OPTIMAL,3.41s
j2030_3,3.29s,2868610.0,OPTIMAL,3.40s
