benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,16.17s,1794131,OPTIMAL,16.67s
J50100_2,13.97s,767512,OPTIMAL,15.13s
J50100_3,597.57s,1759597,SATISFIABLE,602.13s
J50100_4,397.41s,1949529,OPTIMAL,403.02s
J50100_5,34.64s,1857160,OPTIMAL,35.46s
J50101_1,4.95s,38391,OPTIMAL,5.44s
J50101_2,4.98s,35822,OPTIMAL,6.20s
J50101_3,5.18s,35607,OPTIMAL,5.62s
J50101_4,4.76s,33396,OPTIMAL,5.45s
J50101_5,5.15s,30021,OPTIMAL,9.45s
J50102_1,8.90s,684290,OPTIMAL,9.41s
J50102_2,10.16s,753540,OPTIMAL,16.05s
J50102_3,10.55s,894803,OPTIMAL,11.44s
J50102_4,11.50s,1250462,OPTIMAL,12.08s
J50102_5,14.21s,1551273,OPTIMAL,14.79s
J50103_1,600.57s,1611493,SATISFIABLE,603.61s
J50103_2,599.71s,2018552,SATISFIABLE,602.95s
J50103_3,599.48s,2318723,SATISFIABLE,602.64s
J50103_4,600.15s,1625169,SATISFIABLE,603.12s
J50103_5,598.82s,1416850,SATISFIABLE,602.73s
J50104_1,598.43s,1274300,SATISFIABLE,603.71s
J50104_2,599.15s,1757961,SATISFIABLE,603.30s
J50104_3,600.02s,2368877,SATISFIABLE,603.42s
J50104_4,596.97s,1954782,SATISFIABLE,602.80s
J50104_5,600.61s,2131941,SATISFIABLE,603.71s
J50105_1,11.14s,372859,OPTIMAL,14.10s
J50105_2,15.25s,755199,OPTIMAL,16.35s
J50105_3,16.69s,742765,OPTIMAL,19.40s
J50105_4,15.74s,945306,OPTIMAL,16.35s
J50105_5,15.82s,678620,OPTIMAL,17.62s
J50106_1,114.55s,1830149,OPTIMAL,115.79s
J50106_2,598.08s,1929280,SATISFIABLE,603.32s
J50106_3,600.09s,1517512,SATISFIABLE,605.54s
J50106_4,600.69s,2357700,SATISFIABLE,603.93s
J50106_5,598.81s,2003728,SATISFIABLE,603.33s
J50107_1,8.82s,120506,OPTIMAL,9.92s
J50107_2,50.02s,5631404,OPTIMAL,50.71s
J50107_3,11.66s,424179,OPTIMAL,12.65s
J50107_4,8.55s,54562,OPTIMAL,12.59s
J50107_5,6.82s,37789,OPTIMAL,16.60s
J50108_1,26.63s,2008885,OPTIMAL,27.14s
J50108_2,21.55s,1506874,OPTIMAL,22.49s
J50108_3,23.83s,1525068,OPTIMAL,26.01s
