benchmark,cpu_time,number_of_decisions,status,wall_time
J5098_2,597.90s,432303870,SATISFIABLE,603.03s
J5098_3,596.59s,1138763480,UNKNOWN,600.34s
J5098_4,596.80s,846658986,UNKNOWN,600.38s
J5098_5,599.18s,606834552,SATISFIABLE,602.73s
J5099_1,17.53s,24431503,OPTIMAL,18.44s
J5099_2,36.26s,38278420,OPTIMAL,37.30s
J5099_3,23.49s,36087950,OPTIMAL,25.97s
J5099_4,21.42s,31934724,OPTIMAL,22.04s
J5099_5,39.13s,32897203,OPTIMAL,41.23s
J509_1,597.18s,37779573,UNKNOWN,600.73s
J509_2,598.98s,101655269,SATISFIABLE,604.61s
J509_3,599.88s,69097125,SATISFIABLE,603.05s
J509_4,595.87s,43479332,UNKNOWN,600.78s
J509_5,600.05s,58264915,SATISFIABLE,603.21s
