benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,4.808569909747292,5.32,50,3217309,"{'OPTIMAL': 519, 'SATISFIABLE': 35}"
j30,12.125789199288256,12.89,62,9053227,"{'OPTIMAL': 293, 'SATISFIABLE': 188, 'UNSATISFIABLE': 80, 'UNKNOWN': 1}"
m5,5.761516702508961,6.58,49,3458203,"{'OPTIMAL': 501, 'SATISFIABLE': 57}"
n3,1.9400562833333332,2.7,39,1436585,"{'OPTIMAL': 593, 'SATISFIABLE': 7}"
r5,4.439158351648351,5.17,41,4449898,"{'OPTIMAL': 519, 'SATISFIABLE': 27}"
