benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,8.167084945848375,8.39,28,4715018,"{'OPTIMAL': 427, 'SATISFIABLE': 115, 'UNKNOWN': 12}"
j30,14.816927175843695,15.07,21,28793461,"{'OPTIMAL': 251, 'UNKNOWN': 171, 'SATISFIABLE': 123, 'UNSATISFIABLE': 18}"
m5,9.484328118279569,9.68,23,5161972,"{'OPTIMAL': 377, 'SATISFIABLE': 171, 'UNKNOWN': 10}"
n3,4.028691983333333,4.18,26,2018564,"{'OPTIMAL': 557, 'SATISFIABLE': 39, 'UNKNOWN': 4}"
r5,6.6477313003663,6.84,24,4677351,"{'OPTIMAL': 457, 'SATISFIABLE': 60, 'UNKNOWN': 29}"
