benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,3.259637833935018,3.51,25,290042,"{'OPTIMAL': 526, 'SATISFIABLE': 28}"
j30,7.871902426343154,8.19,28,639097,"{'OPTIMAL': 360, 'SATISFIABLE': 141, 'UNSATISFIABLE': 80}"
m5,4.454264695340502,4.68,23,228599,"{'OPTIMAL': 499, 'SATISFIABLE': 59}"
n3,1.2839699,1.48,22,171991,"{'OPTIMAL': 596, 'SATISFIABLE': 4}"
r5,2.9160817765567764,3.15,24,389197,"{'OPTIMAL': 521, 'SATISFIABLE': 25}"
