benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,average_objective_area,statuses
j20,3.61,3.75,26,296774,169.87021319311663,"{'OPTIMAL': 338, 'SATISFIABLE': 185, 'UNKNOWN': 31}"
j30,5.33,5.57,10,405715,288.53684738372095,"{'SATISFIABLE': 285, 'UNKNOWN': 227, 'OPTIMAL': 59}"
m5,3.79,4.0,23,264099,149.16227621722845,"{'OPTIMAL': 289, 'SATISFIABLE': 245, 'UNKNOWN': 24}"
n3,2.37,2.64,24,194539,100.6762853492334,"{'OPTIMAL': 468, 'SATISFIABLE': 119, 'UNKNOWN': 13}"
r5,3.19,3.42,23,354915,127.93673192771084,"{'OPTIMAL': 359, 'SATISFIABLE': 139, 'UNKNOWN': 48}"
