benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,average_objective_area,statuses
j20,3.27,3.46,48,3158674,287.0337034358047,"{'OPTIMAL': 405, 'SATISFIABLE': 148, 'UNKNOWN': 1}"
j30,4.68,4.94,27,6887317,989.5546340206184,"{'SATISFIABLE': 447, 'UNSATISFIABLE': 79, 'OPTIMAL': 38, 'UNKNOWN': 4}"
m5,3.89,4.1,45,3326254,293.6501603942652,"{'OPTIMAL': 317, 'SATISFIABLE': 241}"
n3,1.93,2.09,38,1426323,137.2985,"{'OPTIMAL': 557, 'SATISFIABLE': 41, 'UNKNOWN': 2}"
r5,3.44,3.62,38,4269279,264.89412179487186,"{'OPTIMAL': 371, 'SATISFIABLE': 175}"
