benchmark,cpu_time,number_of_decisions,status,wall_time
J5027_5,32.58,115824467,OPTIMAL,43.83
J5028_1,58.35,160530331,OPTIMAL,60.54
J5028_2,61.06,128016808,SATISFIABLE,64.05
J5028_3,37.3,75672264,OPTIMAL,42.95
J5028_4,61.99,108345672,SATISFIABLE,63.36
J5028_5,41.56,104562157,OPTIMAL,44.39
J5029_1,49.57,116245482,SATISFIABLE,63.87
J5029_2,50.15,111400217,OPTIMAL,56.18
J5029_3,62.21,133868711,SATISFIABLE,63.9
J5029_4,62.24,142256451,SATISFIABLE,64.1
J5029_5,55.07,102555056,SATISFIABLE,64.33
J502_1,61.64,30597299,SATISFIABLE,62.61
J502_2,61.66,33132551,SATISFIABLE,62.79
J502_3,62.55,48384945,SATISFIABLE,63.57
J502_4,61.89,51767083,SATISFIABLE,63.12
J502_5,28.47,40913234,SATISFIABLE,67.09
J5030_1,61.91,103139275,SATISFIABLE,63.21
J5030_2,58.94,127651676,OPTIMAL,60.44
J5030_3,62.13,133193493,SATISFIABLE,64.89
J5030_4,43.13,84011473,OPTIMAL,47.0
J5030_5,62.45,136653646,SATISFIABLE,63.93
J5037_1,61.37,12730705,SATISFIABLE,62.37
J5037_2,61.79,12531748,SATISFIABLE,62.82
J5037_3,59.29,4637212,UNKNOWN,64.49
J5037_4,61.64,24081397,SATISFIABLE,62.62
J5037_5,61.17,16075583,SATISFIABLE,62.12
J5038_1,61.06,24468737,SATISFIABLE,62.39
J5038_2,61.79,19267665,SATISFIABLE,64.54
J5038_3,61.84,23223590,SATISFIABLE,62.86
J5038_4,62.16,27389417,SATISFIABLE,63.29
J5038_5,61.7,23543142,SATISFIABLE,62.64
J5039_1,29.89,20818450,OPTIMAL,31.19
J5039_2,31.15,28796503,OPTIMAL,41.19
J5039_3,21.91,23010903,OPTIMAL,22.74
J5039_4,26.01,19162613,OPTIMAL,26.88
J5039_5,36.09,36322166,OPTIMAL,38.89
J503_1,32.62,29762167,OPTIMAL,33.52
J503_2,22.42,35219926,OPTIMAL,30.27
J503_3,33.5,27456194,OPTIMAL,34.59
J503_4,33.67,31521543,OPTIMAL,34.57
J503_5,61.51,29600672,SATISFIABLE,62.57
J5040_1,56.61,24146693,SATISFIABLE,62.71
J5040_2,60.25,18601119,SATISFIABLE,62.4
J5040_3,61.17,17619195,SATISFIABLE,62.21
J5040_4,60.16,16959435,SATISFIABLE,62.02
J5040_5,45.7,28636825,OPTIMAL,47.12
J5041_1,37.17,31285916,OPTIMAL,38.09
J5041_2,21.1,20466179,OPTIMAL,23.47
J5041_3,35.58,34082567,OPTIMAL,46.85
J5041_4,26.07,24448398,OPTIMAL,27.04
J5041_5,40.79,30206363,OPTIMAL,41.72
J5042_1,17.4,15296414,OPTIMAL,18.14
J5042_2,33.43,23891438,OPTIMAL,34.34
J5042_3,61.56,21504564,SATISFIABLE,62.83
J5042_4,25.75,27238815,OPTIMAL,26.93
J5042_5,14.51,13628171,OPTIMAL,15.33
J5043_1,61.32,23439719,SATISFIABLE,62.98
J5043_2,59.09,29551820,SATISFIABLE,62.95
J5043_3,61.98,36812343,SATISFIABLE,63.17
J5043_4,46.06,21492035,UNKNOWN,60.49
J5043_5,62.19,21381914,SATISFIABLE,63.66
J5044_1,62.12,48498416,SATISFIABLE,63.83
J5044_2,61.97,50961190,SATISFIABLE,63.76
J5044_3,61.9,24846294,SATISFIABLE,63.35
J5044_4,62.5,39029331,SATISFIABLE,63.74
J5044_5,62.48,46562781,SATISFIABLE,65.41
J5045_1,60.84,45829383,SATISFIABLE,63.57
J5045_2,61.44,56406621,SATISFIABLE,63.9
J5045_3,62.13,55065679,SATISFIABLE,63.69
J5045_4,42.9,50957533,SATISFIABLE,63.88
J5045_5,36.46,36708904,SATISFIABLE,66.33
J5046_1,61.38,26266298,SATISFIABLE,63.38
J5046_2,62.16,36691112,SATISFIABLE,63.87
J5046_3,61.56,48617597,SATISFIABLE,64.15
J5046_4,62.45,47318866,SATISFIABLE,63.69
J5046_5,62.72,54653886,SATISFIABLE,64.1
J5047_1,62.18,51736041,SATISFIABLE,63.31
J5047_2,51.86,56717145,SATISFIABLE,65.35
J5047_3,59.92,59133465,SATISFIABLE,62.99
J5047_4,61.96,47233371,SATISFIABLE,63.2
J5047_5,61.95,60056038,SATISFIABLE,63.38
J5048_1,60.5,77834455,SATISFIABLE,63.6
J5048_2,61.52,37042957,SATISFIABLE,67.42
J5048_3,61.81,94263178,SATISFIABLE,64.22
J5048_4,62.03,54364241,SATISFIABLE,63.72
J5048_5,61.85,42432857,SATISFIABLE,64.66
J5049_1,61.27,42243130,SATISFIABLE,62.59
J5049_2,62.27,42037421,SATISFIABLE,63.54
J5049_3,59.89,9056914,UNKNOWN,61.06
J5049_4,47.71,40929442,SATISFIABLE,63.19
J5049_5,61.83,40029022,SATISFIABLE,62.99
J504_1,61.89,27753437,SATISFIABLE,63.52
J504_2,61.87,45123825,SATISFIABLE,63.18
J504_3,61.55,32280132,SATISFIABLE,62.68
J504_4,61.39,25644623,SATISFIABLE,62.36
J504_5,61.39,31120724,SATISFIABLE,62.7
J5050_1,62.8,76224705,SATISFIABLE,64.29
J5050_2,60.25,38358897,SATISFIABLE,63.11
J5050_3,61.38,38646054,SATISFIABLE,62.66
J5050_4,62.68,51344268,SATISFIABLE,63.9
J5050_5,62.47,38310129,SATISFIABLE,63.67
J5051_1,24.07,39545548,OPTIMAL,27.08
J5051_2,40.14,49826931,OPTIMAL,44.16
J5051_3,51.77,45736780,OPTIMAL,53.0
J5051_4,34.8,40977114,OPTIMAL,35.7
J5051_5,23.29,34960664,OPTIMAL,24.21
J5052_1,61.93,39072173,SATISFIABLE,62.99
J5052_2,62.06,48079381,SATISFIABLE,63.21
J5052_3,59.19,45996678,SATISFIABLE,63.75
J5052_4,28.43,32130584,OPTIMAL,29.37
J5052_5,54.97,41416378,SATISFIABLE,62.78
J5053_1,61.32,63667682,SATISFIABLE,62.76
J5053_2,36.94,59377069,OPTIMAL,38.97
J5053_3,34.92,46996416,OPTIMAL,35.96
J5053_4,33.56,46191364,OPTIMAL,34.96
J5053_5,28.0,34097079,OPTIMAL,42.01
J5054_1,37.39,45169701,OPTIMAL,38.28
J5054_2,53.11,53246928,OPTIMAL,57.72
J5054_3,37.19,72911199,OPTIMAL,48.08
J5054_4,46.02,39116702,SATISFIABLE,63.12
J5054_5,35.93,45709972,OPTIMAL,37.29
J5055_1,62.56,128398242,SATISFIABLE,64.16
J5055_2,59.75,25325609,UNKNOWN,61.36
J5055_3,59.87,29097618,UNKNOWN,61.47
J5055_4,62.02,65125970,SATISFIABLE,64.1
J5055_5,62.12,92021180,SATISFIABLE,64.81
J5056_1,5.34,0,UNKNOWN,63.36
J5056_2,63.19,126766128,SATISFIABLE,64.8
J5056_3,62.97,123472658,SATISFIABLE,66.7
J5056_4,63.21,79913491,SATISFIABLE,65.8
J5056_5,62.75,67200730,SATISFIABLE,64.39
J5057_1,62.78,117788751,SATISFIABLE,64.22
J5057_2,56.96,86166547,OPTIMAL,59.02
J5057_3,62.3,97331641,SATISFIABLE,63.66
J5057_4,51.97,120550566,SATISFIABLE,64.63
J5057_5,62.69,149256892,SATISFIABLE,65.19
J5058_1,58.26,105634472,SATISFIABLE,64.23
J5058_2,62.31,141292782,SATISFIABLE,64.45
