benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,60.43s,384063971,UNKNOWN,60.97s
J50100_2,61.48s,200999267,SATISFIABLE,62.24s
J50100_3,59.46s,330968465,UNKNOWN,60.36s
J50100_4,59.41s,410218530,UNKNOWN,60.11s
J50100_5,60.33s,348325680,UNKNOWN,60.98s
J50101_1,8.15s,10421134,OPTIMAL,8.74s
J50101_2,8.45s,7301726,OPTIMAL,8.91s
J50101_3,7.51s,7615818,OPTIMAL,7.89s
J50101_4,7.54s,5726591,OPTIMAL,7.99s
J50101_5,7.55s,6820073,OPTIMAL,7.97s
J50102_1,19.28s,24425373,OPTIMAL,20.19s
J50102_2,45.26s,34807175,OPTIMAL,46.87s
J50102_3,41.28s,46267881,OPTIMAL,41.80s
J50102_4,23.77s,33204023,OPTIMAL,24.89s
J50102_5,34.11s,32119751,OPTIMAL,36.38s
J50103_1,59.35s,397726866,UNKNOWN,60.29s
J50103_2,59.99s,401112614,UNKNOWN,60.96s
J50103_3,60.12s,414806818,UNKNOWN,60.91s
J50103_4,59.23s,380586702,UNKNOWN,60.40s
J50103_5,59.61s,467909772,UNKNOWN,60.51s
J50104_1,59.36s,402363834,UNKNOWN,60.01s
J50104_2,58.93s,369110091,UNKNOWN,60.10s
J50104_3,59.04s,386061331,UNKNOWN,60.30s
J50104_4,59.93s,344926494,UNKNOWN,60.85s
J50104_5,59.18s,442760147,UNKNOWN,60.35s
J50105_1,28.04s,40723233,OPTIMAL,28.71s
J50105_2,44.84s,84819914,OPTIMAL,47.12s
J50105_3,33.08s,85292298,OPTIMAL,33.82s
J50105_4,49.65s,65414887,OPTIMAL,50.80s
J50105_5,32.33s,84187795,OPTIMAL,33.07s
J50106_1,59.00s,391766859,UNKNOWN,60.13s
J50106_2,60.15s,335887459,UNKNOWN,60.93s
J50106_3,59.15s,382638752,UNKNOWN,60.60s
J50106_4,58.02s,362076586,UNKNOWN,60.12s
J50106_5,58.69s,378457260,UNKNOWN,60.23s
J50107_1,11.07s,8642884,OPTIMAL,11.73s
J50107_2,9.44s,8299677,OPTIMAL,10.11s
J50107_3,13.31s,12450185,OPTIMAL,14.05s
J50107_4,12.94s,12240962,OPTIMAL,13.73s
J50107_5,10.29s,8874419,OPTIMAL,12.20s
J50108_1,29.52s,69457472,OPTIMAL,30.22s
J50108_2,27.94s,73056602,OPTIMAL,28.88s
J50108_3,24.95s,45778594,OPTIMAL,26.45s
J50108_4,60.98s,30715857,SATISFIABLE,62.79s
J50108_5,62.23s,63699049,SATISFIABLE,63.69s
J5010_1,59.71s,304697266,UNKNOWN,60.75s
J5010_2,59.93s,365364918,UNKNOWN,60.98s
J5010_3,58.44s,307632462,UNKNOWN,60.06s
J5010_4,58.70s,355314020,UNKNOWN,60.58s
J5010_5,59.44s,341273263,UNKNOWN,60.33s
J5011_1,59.98s,6484820,UNKNOWN,60.84s
J5011_2,59.61s,8442144,UNKNOWN,60.38s
J5011_3,56.68s,6123441,UNKNOWN,60.85s
J5011_4,59.22s,8149615,UNKNOWN,60.32s
J5011_5,59.21s,9773092,UNKNOWN,60.14s
J5012_1,59.86s,8861484,UNKNOWN,60.69s
J5012_2,59.32s,7099866,UNKNOWN,60.35s
J5012_3,59.35s,7678715,UNKNOWN,60.44s
J5012_4,58.99s,8453357,UNKNOWN,60.02s
J5012_5,58.90s,8259851,UNKNOWN,60.47s
J5013_1,59.90s,388185659,UNKNOWN,60.56s
J5013_2,59.27s,386357021,UNKNOWN,60.25s
J5013_3,60.12s,316456419,UNKNOWN,60.82s
J5013_4,59.24s,385448090,UNKNOWN,60.84s
J5013_5,59.12s,412944782,UNKNOWN,60.62s
J5014_1,59.76s,394170079,UNKNOWN,60.79s
J5014_2,60.31s,230219861,UNKNOWN,60.95s
J5014_3,59.53s,303840454,UNKNOWN,60.59s
J5014_4,59.06s,417308634,UNKNOWN,60.10s
J5014_5,59.34s,362544123,UNKNOWN,60.16s
J5015_1,12.20s,56325514,OPTIMAL,12.70s
J5015_2,22.62s,115356991,OPTIMAL,23.05s
J5015_3,19.60s,80731731,OPTIMAL,20.22s
J5015_4,17.65s,80309157,OPTIMAL,18.19s
J5015_5,17.38s,69458315,OPTIMAL,18.50s
J5016_1,59.54s,181449945,UNKNOWN,60.52s
J5016_2,61.94s,238844779,SATISFIABLE,62.58s
J5016_3,58.59s,238138740,UNKNOWN,60.38s
J5016_4,60.17s,166918540,SATISFIABLE,62.69s
J5016_5,59.06s,202757829,UNKNOWN,60.41s
J5017_1,9.85s,25554916,OPTIMAL,10.60s
J5017_2,6.47s,4414544,OPTIMAL,6.92s
J5017_3,6.51s,10581785,OPTIMAL,6.94s
J5017_4,8.05s,15566406,OPTIMAL,8.76s
J5017_5,7.17s,10246259,OPTIMAL,8.02s
J5018_1,15.72s,41461556,OPTIMAL,16.17s
J5018_2,16.79s,21572284,OPTIMAL,18.24s
J5018_3,11.02s,26824185,OPTIMAL,11.71s
J5018_4,24.07s,63448339,OPTIMAL,25.27s
J5018_5,29.19s,39617176,OPTIMAL,30.17s
J5019_1,59.83s,459064911,UNKNOWN,60.79s
J501_1,59.66s,339412713,UNKNOWN,60.76s
J501_2,59.06s,282963753,UNKNOWN,60.06s
J501_3,59.65s,354005004,UNKNOWN,60.22s
J501_4,59.48s,393342451,UNKNOWN,60.01s
J501_5,59.68s,323885947,UNKNOWN,60.31s
J5020_1,59.21s,411424146,UNKNOWN,60.59s
J5020_2,59.73s,431426318,UNKNOWN,60.62s
J5020_3,59.97s,448900511,UNKNOWN,60.73s
J5020_4,58.86s,453979405,UNKNOWN,60.04s
J5020_5,59.13s,416874265,UNKNOWN,60.78s
J5021_4,53.45s,83711722,OPTIMAL,54.71s
J5021_5,62.95s,70376776,SATISFIABLE,63.95s
J5022_2,59.65s,420497011,UNKNOWN,60.63s
J5023_1,58.88s,10835392,UNKNOWN,60.81s
J5025_1,59.54s,321753367,UNKNOWN,60.40s
J5025_2,59.46s,492800561,UNKNOWN,60.34s
J5025_3,59.61s,453356164,UNKNOWN,60.38s
J5025_4,59.11s,480854062,UNKNOWN,60.01s
J5025_5,59.74s,433662607,UNKNOWN,60.50s
J5026_1,59.01s,466028221,UNKNOWN,60.13s
J5026_2,59.70s,294463585,UNKNOWN,60.29s
J5026_3,59.48s,458327531,UNKNOWN,60.29s
J5026_4,60.07s,433524391,UNKNOWN,60.94s
J5026_5,59.03s,487348839,UNKNOWN,60.72s
J5027_1,13.64s,59579251,OPTIMAL,14.38s
J5027_2,18.67s,64915068,OPTIMAL,19.91s
J5027_3,24.29s,123943623,OPTIMAL,24.94s
J5027_4,59.73s,425758396,UNKNOWN,60.39s
J5027_5,30.76s,184299515,OPTIMAL,35.43s
J5028_1,49.27s,277982362,OPTIMAL,50.20s
J5028_2,60.11s,503887296,UNKNOWN,60.84s
J5028_3,59.26s,406364694,UNKNOWN,60.33s
J5028_4,59.59s,437239740,UNKNOWN,60.21s
J5028_5,60.12s,472302336,UNKNOWN,60.88s
J5029_1,10.10s,29352217,OPTIMAL,10.72s
J5029_2,7.43s,7496222,OPTIMAL,8.02s
