benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,17.21s,1794131,OPTIMAL,17.76s
J50100_2,11.95s,767512,OPTIMAL,12.31s
J50100_3,61.99s,1124322,SATISFIABLE,62.80s
J50100_4,61.28s,1517193,SATISFIABLE,61.93s
J50100_5,38.28s,1857160,OPTIMAL,38.89s
J50101_1,4.83s,38391,OPTIMAL,5.58s
J50101_2,4.72s,35822,OPTIMAL,5.16s
J50101_3,4.54s,35607,OPTIMAL,4.99s
J50101_4,4.43s,33396,OPTIMAL,5.09s
J50101_5,4.75s,30021,OPTIMAL,5.18s
J50102_1,11.50s,684290,OPTIMAL,11.99s
J50102_2,10.49s,753540,OPTIMAL,10.98s
J50102_3,9.47s,894803,OPTIMAL,9.94s
J50102_4,11.76s,1250462,OPTIMAL,12.76s
J50102_5,15.24s,1551273,OPTIMAL,15.90s
J50103_1,63.04s,859091,SATISFIABLE,63.91s
J50103_2,57.96s,330972,UNKNOWN,60.04s
J50103_3,61.41s,1106046,SATISFIABLE,63.01s
J50103_4,63.04s,1047330,SATISFIABLE,63.90s
J50103_5,61.54s,875215,SATISFIABLE,62.74s
J50104_1,61.75s,812193,SATISFIABLE,62.47s
J50104_2,62.96s,1322675,SATISFIABLE,63.98s
J50104_3,60.05s,1894270,SATISFIABLE,63.09s
J50104_4,61.93s,1631633,SATISFIABLE,62.72s
J50104_5,62.88s,1203315,SATISFIABLE,63.79s
J50105_1,11.24s,372859,OPTIMAL,11.87s
J50105_2,14.64s,755199,OPTIMAL,15.55s
J50105_3,15.36s,742765,OPTIMAL,16.14s
J50105_4,17.74s,945306,OPTIMAL,18.41s
J50105_5,16.08s,678620,OPTIMAL,16.92s
J50106_1,62.84s,1712534,SATISFIABLE,63.83s
J50106_2,62.31s,1397022,SATISFIABLE,63.34s
J50106_3,61.59s,1013003,SATISFIABLE,63.59s
J50106_4,62.03s,1884884,SATISFIABLE,65.17s
J50106_5,62.44s,1653005,SATISFIABLE,63.51s
J50107_1,8.22s,120506,OPTIMAL,9.28s
J50107_2,40.74s,5631404,OPTIMAL,41.51s
J50107_3,12.31s,424179,OPTIMAL,13.14s
J50107_4,8.84s,54562,OPTIMAL,9.78s
J50107_5,7.00s,37789,OPTIMAL,7.78s
J50108_1,25.91s,2008885,OPTIMAL,30.70s
J50108_2,24.69s,1506874,OPTIMAL,25.42s
J50108_3,20.48s,1525068,OPTIMAL,21.67s
J50108_4,14.93s,637050,OPTIMAL,15.83s
J50108_5,11.62s,444387,OPTIMAL,12.37s
J5010_1,62.45s,4437509,SATISFIABLE,63.27s
J5010_2,62.03s,6702804,SATISFIABLE,63.55s
J5010_3,62.76s,4571791,SATISFIABLE,63.95s
J5010_4,60.92s,2304131,SATISFIABLE,63.28s
J5010_5,62.26s,1115833,SATISFIABLE,63.72s
J5011_1,62.27s,3218016,SATISFIABLE,63.72s
J5011_2,59.71s,3188370,SATISFIABLE,63.04s
J5011_3,61.45s,3559115,SATISFIABLE,62.64s
J5011_4,61.29s,2750700,SATISFIABLE,63.82s
J5011_5,62.06s,7063787,SATISFIABLE,63.26s
J5012_1,61.88s,2536176,SATISFIABLE,63.14s
J5012_2,62.64s,844849,SATISFIABLE,63.60s
J5012_3,62.55s,4516040,SATISFIABLE,63.55s
J5012_4,62.00s,5217962,SATISFIABLE,63.15s
J5012_5,61.90s,4403778,SATISFIABLE,62.77s
J5013_1,60.41s,1632360,SATISFIABLE,67.76s
J5013_2,61.67s,1081364,SATISFIABLE,62.90s
J5013_3,62.29s,904869,SATISFIABLE,63.06s
J5013_4,54.80s,1091823,SATISFIABLE,63.28s
J5013_5,62.43s,2324290,SATISFIABLE,63.31s
J5014_1,62.24s,1716541,SATISFIABLE,63.01s
J5014_2,61.88s,1137234,SATISFIABLE,62.82s
J5014_3,62.33s,1038930,SATISFIABLE,64.56s
J5014_4,62.40s,1403471,SATISFIABLE,63.41s
J5014_5,61.82s,1412185,SATISFIABLE,62.99s
J5015_1,8.28s,620644,OPTIMAL,8.79s
J5015_2,9.52s,392986,OPTIMAL,10.70s
J5015_3,15.13s,2037442,OPTIMAL,15.71s
J5015_4,9.29s,499204,OPTIMAL,10.38s
J5015_5,13.63s,1269227,OPTIMAL,14.32s
J5016_1,15.89s,1629101,OPTIMAL,17.17s
J5016_2,62.00s,1167773,SATISFIABLE,65.59s
J5016_3,13.95s,977817,OPTIMAL,15.04s
J5016_4,12.52s,1182151,OPTIMAL,13.60s
J5016_5,10.28s,866824,OPTIMAL,10.93s
J5017_1,9.43s,644119,OPTIMAL,9.95s
J5017_2,5.85s,104662,OPTIMAL,7.19s
J5017_3,5.50s,188725,OPTIMAL,7.00s
J5017_4,6.93s,127287,OPTIMAL,9.25s
J5017_5,7.22s,203179,OPTIMAL,7.80s
J5018_1,8.86s,714606,OPTIMAL,9.44s
J5018_2,10.76s,1038807,OPTIMAL,11.60s
J5018_3,8.02s,454311,OPTIMAL,8.71s
J5018_4,12.24s,941039,OPTIMAL,12.80s
J5018_5,12.70s,1307875,OPTIMAL,13.34s
J5019_1,62.52s,1186155,SATISFIABLE,64.35s
J501_1,61.33s,533887,SATISFIABLE,61.99s
J501_2,61.63s,3356231,SATISFIABLE,62.60s
J501_3,59.38s,483669,UNKNOWN,60.72s
J501_4,61.44s,1261108,SATISFIABLE,62.36s
J501_5,61.32s,997007,SATISFIABLE,62.90s
J5020_1,62.83s,2330470,SATISFIABLE,63.96s
J5020_2,62.39s,2701528,SATISFIABLE,63.46s
J5020_3,62.69s,1189896,SATISFIABLE,63.97s
J5020_4,63.01s,952198,SATISFIABLE,63.96s
