benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,3.8310037545126354,4.02,22,3747702,"{'OPTIMAL': 310, 'SATISFIABLE': 216, 'UNKNOWN': 28}"
j30,5.185546938053097,5.55,10,10056199,"{'SATISFIABLE': 278, 'UNKNOWN': 226, 'OPTIMAL': 60, 'UNSATISFIABLE': 1}"
m5,3.9955750537634405,4.29,18,3970509,"{'OPTIMAL': 272, 'SATISFIABLE': 257, 'UNKNOWN': 29}"
n3,2.4228809,2.57,24,1878360,"{'OPTIMAL': 476, 'SATISFIABLE': 115, 'UNKNOWN': 9}"
r5,3.4035811172161172,3.67,21,4003984,"{'OPTIMAL': 344, 'SATISFIABLE': 159, 'UNKNOWN': 43}"
