benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,3.313046606498195,3.54,47,3147943,"{'OPTIMAL': 392, 'SATISFIABLE': 161, 'UNKNOWN': 1}"
j30,4.670324513274336,4.92,29,7063709,"{'SATISFIABLE': 445, 'UNSATISFIABLE': 79, 'OPTIMAL': 38, 'UNKNOWN': 3}"
m5,3.4784312544802867,3.71,47,3394564,"{'OPTIMAL': 367, 'SATISFIABLE': 191}"
n3,1.5957760666666667,1.75,39,1434594,"{'OPTIMAL': 573, 'SATISFIABLE': 27}"
r5,3.3799561355311356,3.56,39,4319163,"{'OPTIMAL': 376, 'SATISFIABLE': 170}"
