benchmark,cpu_time,average_wall_time,average_number_of_solutions,average_number_of_decisions,statuses
j20,1.9295556678700363,2.14,25,282595,"{'OPTIMAL': 481, 'SATISFIABLE': 73}"
j30,3.6074631841652325,3.88,25,536387,"{'OPTIMAL': 285, 'SATISFIABLE': 216, 'UNSATISFIABLE': 79, 'UNKNOWN': 1}"
m5,2.2406322043010753,2.48,23,213558,"{'OPTIMAL': 437, 'SATISFIABLE': 120, 'UNKNOWN': 1}"
n3,0.9525733499999999,1.15,22,169965,"{'OPTIMAL': 581, 'SATISFIABLE': 19}"
r5,1.8514064835164834,2.03,24,382064,"{'OPTIMAL': 495, 'SATISFIABLE': 51}"
